"","V1"
"4555","Good position and hotel very clean."
"4556","Breakfast disappointing, we paid an additional £20 to include the continental breakfast but were only allowed 3 items plus a drink which we were not aware of.  So a croissant, small bowl of cereal and a slice of toast cost me £10!!! "
"4557","It so convenience to theme park."
"4558","It so convenience to theme park."
"4559","The hotel is new and clean. The bathroom is excellent. We have a pleasant and comfortable stay."
"4560","The hotel is new and clean. The bathroom is excellent. We have a pleasant and comfortable stay."
"4561","Very kind and helpfull staff.  "
"4562","Not always easy to communicate with staff because of poor English. But there is usually someone around to help out."
"4563","Very kind and helpfull staff.  "
"4564","Not always easy to communicate with staff because of poor English. But there is usually someone around to help out."
"4565","Friendly, beautiful swimming pool, air condition perfect"
"4566","Locals use swimming pool,  Hotels guests brushed aside  Looking at making money through bar receights from locals by the pool  At one stage probably 30 local residents in and around pool  We thought pool was for hotel guests? How wrong we're we."
"4567","Friendly, beautiful swimming pool, air condition perfect"
"4568","Locals use swimming pool,  Hotels guests brushed aside  Looking at making money through bar receights from locals by the pool  At one stage probably 30 local residents in and around pool  We thought pool was for hotel guests? How wrong we're we."
"4569","No air condition!!! Only a fan which ment 100C at night. The staff left the windows open evert cleaning which ment misquitos every night.   Over 40 euros pr person pr night didn't match the quality"
"4570","No air condition!!! Only a fan which ment 100C at night. The staff left the windows open evert cleaning which ment misquitos every night.   Over 40 euros pr person pr night didn't match the quality"
"4571","Rooms were large and the view from this Hotel is amazing."
"4572","The pool was closed and we didn't know this before booking. Food was poor but is in most of Cuba. "
"4573","Rooms were large and the view from this Hotel is amazing."
"4574","The pool was closed and we didn't know this before booking. Food was poor but is in most of Cuba. "
"4575","Cozy, well maintained place with good service, very friendly and smiling staff and good home cooked food.  About 5 minutes walking distance to the beach and 10 minutes walking distance from the center. To the center we chose to walk the small road that is close to and parallel with the beach, and walked the main street when going to the big supermarket which is about 5 minutes walking distance. We stayed at the hotel for 10 days with breakfast and dinner option and had a wonderful and relaxing stay.  "
"4576","Cozy, well maintained place with good service, very friendly and smiling staff and good home cooked food.  About 5 minutes walking distance to the beach and 10 minutes walking distance from the center. To the center we chose to walk the small road that is close to and parallel with the beach, and walked the main street when going to the big supermarket which is about 5 minutes walking distance. We stayed at the hotel for 10 days with breakfast and dinner option and had a wonderful and relaxing stay.  "
"4577","very tired and run down. where you got 4 stars from god only knows. I have been in the hotel business for twenty years and this hotel would struggle to maintain 2 stars,"
"4578","very tired and run down. where you got 4 stars from god only knows. I have been in the hotel business for twenty years and this hotel would struggle to maintain 2 stars,"
"4579","The room was clean and the bed was large and very comfortable. The room in general was of a high standard. The reception staff were prompt, helpful and professional."
"4580","More tea and milk in the room please! Also the bathroom flooded even though the shower screen was positioned correctly."
"4581","The room was clean and the bed was large and very comfortable. The room in general was of a high standard. The reception staff were prompt, helpful and professional."
"4582","More tea and milk in the room please! Also the bathroom flooded even though the shower screen was positioned correctly."
"4583","Great service, friendly and welcoming staff who went out of their  to accommodate our needs and requests. Lovely breakfast, much variety and fabulous fresh fruits."
"4584","Terrible night room service, poor selection of food and value for money, not tasty at all."
"4585","Great service, friendly and welcoming staff who went out of their  to accommodate our needs and requests. Lovely breakfast, much variety and fabulous fresh fruits."
"4586","Terrible night room service, poor selection of food and value for money, not tasty at all."
"4587","Nice hotel grounds"
"4588","The room was in a need of an update. There was torn wallpaper, chipped furniture, holes in the net curtains and the bathroom was dirty. Not a four star room. The drinks were expensive more than £10 for a pint of lager and a wine. I would not return"
"4589","Nice hotel grounds"
"4590","The room was in a need of an update. There was torn wallpaper, chipped furniture, holes in the net curtains and the bathroom was dirty. Not a four star room. The drinks were expensive more than £10 for a pint of lager and a wine. I would not return"
"4591","Very good hotel and service have stayed many times and will be visiting again soon . "
"4592","Very good hotel and service have stayed many times and will be visiting again soon . "
"4593","The carpets were absolutely abismal. The common areas of the hotel were very shabby and cluttered. The room itself was very small with only a tiny section of the window that could be opened. There were no fans provided. The bathroom was acceptable. There were a few spiders lurking in the corners of the roo. Denoting a lack of diligence from the cleaning staff. However the bath, basin and bo were clean. I shall not be staying here again."
"4594","The carpets were absolutely abismal. The common areas of the hotel were very shabby and cluttered. The room itself was very small with only a tiny section of the window that could be opened. There were no fans provided. The bathroom was acceptable. There were a few spiders lurking in the corners of the roo. Denoting a lack of diligence from the cleaning staff. However the bath, basin and bo were clean. I shall not be staying here again."
"4595","The Grand Hotel requires a serious refurbishment/update, the rooms are a mis-match of furniture, the bed did not match the headboard. Spa bath was broken and room had a sewage smell, although no fault to the hotel, but the seagulls rule the hotel with nesting, pooping everywhere and so noisy from 4am onwards. Dinning room was more of a greasy spoon café. Sorry will not be back."
"4596","The Grand Hotel requires a serious refurbishment/update, the rooms are a mis-match of furniture, the bed did not match the headboard. Spa bath was broken and room had a sewage smell, although no fault to the hotel, but the seagulls rule the hotel with nesting, pooping everywhere and so noisy from 4am onwards. Dinning room was more of a greasy spoon café. Sorry will not be back."
"4597","Only negative was the checking in process, attending a friends wedding and my husband and I had to leave the wedding breakfast to sort out the check in that resulted in us in our meal being cold on our return    I have already complained regarding this issue - but extremely inefficient"
"4598","Only negative was the checking in process, attending a friends wedding and my husband and I had to leave the wedding breakfast to sort out the check in that resulted in us in our meal being cold on our return    I have already complained regarding this issue - but extremely inefficient"
"4599","helpfull staff ok location"
"4600","very very high charges for wifi which should be free when there are so many free hot spots all over sydney"
"4601","helpfull staff ok location"
"4602","very very high charges for wifi which should be free when there are so many free hot spots all over sydney"
"4603","The staff at the Restaurant "
"4604","We were very disappointed with our room, supposedly an Allure Suite, as it did not have the jacuzzi bath, separate shower cubicle or twin basins in the bathroom as described on the website. There was no storage space whatsoever for toiletries "
"4605","The staff at the Restaurant "
"4606","We were very disappointed with our room, supposedly an Allure Suite, as it did not have the jacuzzi bath, separate shower cubicle or twin basins in the bathroom as described on the website. There was no storage space whatsoever for toiletries "
"4607","Comfortable clean quality friendly central location"
"4608","Comfortable clean quality friendly central location"
"4609","The bed sheets were clean, that is all the positivite comments I have about this hotel."
"4610","Not sure where to start, the hotel is tired and poorly maintained, the communal areas need repainting as they are scuffed and peeling, the carpets are threadbare and dirty in places.  My bedroom was large but very hot and with not air con, the bathroom had mold.  The cooked breakfast was cold and the tables wiped with a dirty cloth so sticky, even asking to be wiped again made no difference.  Not a pleasant experience and not one I will be repeating."
"4611","The bed sheets were clean, that is all the positivite comments I have about this hotel."
"4612","Not sure where to start, the hotel is tired and poorly maintained, the communal areas need repainting as they are scuffed and peeling, the carpets are threadbare and dirty in places.  My bedroom was large but very hot and with not air con, the bathroom had mold.  The cooked breakfast was cold and the tables wiped with a dirty cloth so sticky, even asking to be wiped again made no difference.  Not a pleasant experience and not one I will be repeating."
"4613","Very helpful, and as always, very clean."
"4614","I phoned the hotel directly to ask about booking a room, as on the website it states that room only for one night is £180. It also states on the website that it is £150 for DBB. That's why I rang. The information that I got from the hotel further confused me, as I was told that the prices for room only were right, and that it was an extra £20 for B B. So £190-200 for B B, or £150 for DB B? Regardless I booked the room through a different website and got the room for £100. Even after speaking to them directly and asking what the prices were, 5 mins later I got the room almost half price online. All I can say is that from now on I will not deal with them direct, but go through an agent. Shame really ;("
"4615","Very helpful, and as always, very clean."
"4616","I phoned the hotel directly to ask about booking a room, as on the website it states that room only for one night is £180. It also states on the website that it is £150 for DBB. That's why I rang. The information that I got from the hotel further confused me, as I was told that the prices for room only were right, and that it was an extra £20 for B B. So £190-200 for B B, or £150 for DB B? Regardless I booked the room through a different website and got the room for £100. Even after speaking to them directly and asking what the prices were, 5 mins later I got the room almost half price online. All I can say is that from now on I will not deal with them direct, but go through an agent. Shame really ;("
"4617","No booking made despite your confirmation e-mail!??We will never use or  recommend hotelopia again.. I do expect a speedy apology "
"4618","No booking made despite your confirmation e-mail!??We will never use or  recommend hotelopia again.. I do expect a speedy apology "
"4619","The location os good. The breakfast us complete. Has wifi"
"4620","The location os good. The breakfast us complete. Has wifi"
"4621","Perfect location - about 400m from the sea, also very quiet place close to the woods, but also close to the main road in Leba. Will definitely go there once again."
"4622","Perfect location - about 400m from the sea, also very quiet place close to the woods, but also close to the main road in Leba. Will definitely go there once again."
"4623","All great , only complaint that my room smelt of smoke.  I did report it immediately but nothing seemed to be done and no follow up.  As I was only there for 3night I didn't spend time complaining again.  Aper from that good value for money amd a nice big hotel. Would recommend."
"4624","All great , only complaint that my room smelt of smoke.  I did report it immediately but nothing seemed to be done and no follow up.  As I was only there for 3night I didn't spend time complaining again.  Aper from that good value for money amd a nice big hotel. Would recommend."
"4625","Really enjoyed my stay at this hotel! Went for wedding reception but only going to evening do. Arrived just after lunch and the two reception girls were wonderful. Big welcoming smiles which made me feel happy straight away. They had seen the wedding room set up and were raving about it and we did check it out and it was fabulous! Our room 229 was large and had good quality mattress on the bed. A tiny tad dated but everywhere was immaculately clean so couldn't have asked for anything more. All the staff at the hotel appeared happy and all courteous. I also thoroughly enjoyed the vast selection of food for breakfast. You certainly would not go hungry here. All in all I had a great overnight stay. I did not use the leisure facilities unfortunately due to time. I am pretty sure however, that I will be back!!"
"4626","Really enjoyed my stay at this hotel! Went for wedding reception but only going to evening do. Arrived just after lunch and the two reception girls were wonderful. Big welcoming smiles which made me feel happy straight away. They had seen the wedding room set up and were raving about it and we did check it out and it was fabulous! Our room 229 was large and had good quality mattress on the bed. A tiny tad dated but everywhere was immaculately clean so couldn't have asked for anything more. All the staff at the hotel appeared happy and all courteous. I also thoroughly enjoyed the vast selection of food for breakfast. You certainly would not go hungry here. All in all I had a great overnight stay. I did not use the leisure facilities unfortunately due to time. I am pretty sure however, that I will be back!!"
"4627","I was very happy with my stay, and would recommend this establishment to anyone. Thank you Canadiano!"
"4628","I was very happy with my stay, and would recommend this establishment to anyone. Thank you Canadiano!"
"4629","Really pleased with our room.  It was clean and the decor was very nice and the bed was comfortable.  Reception staff were friendly and helpful and check in was easy and quick.  Would definitely stay again."
"4630","The room was rather hot ( but as we are actually having a summer this year we musn't complain! It would have been helpful to have the option of using just a top sheet but there was only a duvet.)   The only real downside was the bath panel which had some water damage and the bottom seal of the bath/shower screen looked as if it needed replacing.(probably the cause of the water damage)  Otherwise the bathroom was neat and clean with pleasant decor."
"4631","Really pleased with our room.  It was clean and the decor was very nice and the bed was comfortable.  Reception staff were friendly and helpful and check in was easy and quick.  Would definitely stay again."
"4632","The room was rather hot ( but as we are actually having a summer this year we musn't complain! It would have been helpful to have the option of using just a top sheet but there was only a duvet.)   The only real downside was the bath panel which had some water damage and the bottom seal of the bath/shower screen looked as if it needed replacing.(probably the cause of the water damage)  Otherwise the bathroom was neat and clean with pleasant decor."
"4633","Good view's, clean, nice layout. Right next to Old Trafford :)"
"4634","Good view's, clean, nice layout. Right next to Old Trafford :)"
"4635","The hotel is lovely an clean, the staff are well presented and polite. Will stay again"
"4636","The hotel is lovely an clean, the staff are well presented and polite. Will stay again"
"4637","Reception were polite but too business-like for me.  I bit more warmth would be more pleasant - even if busy at the time.   Otherwise, good in every    - except could be nearer ""civilisation""!!!"
"4638","Can't think of any!"
"4639","Reception were polite but too business-like for me.  I bit more warmth would be more pleasant - even if busy at the time.   Otherwise, good in every    - except could be nearer ""civilisation""!!!"
"4640","Can't think of any!"
"4641","There is not much i can say the towels where big and soft.The breakfast had plenty of variety."
"4642","The hotel had no air condition they was a fan that did not work.Went back to reception to complain about the fan and  was given a portable fan.There are no windows that you can open so we had very little sleep. Also could not get into room at first because key card did not work properly.."
"4643","There is not much i can say the towels where big and soft.The breakfast had plenty of variety."
"4644","The hotel had no air condition they was a fan that did not work.Went back to reception to complain about the fan and  was given a portable fan.There are no windows that you can open so we had very little sleep. Also could not get into room at first because key card did not work properly.."
"4645","food and room"
"4646","food and room"
"4647","spotless, very friendly staff,"
"4648","spotless, very friendly staff,"
"4649","Hotel is modern and the free shuttle to the Hard Rock Casino is great."
"4650","Hotel is modern and the free shuttle to the Hard Rock Casino is great."
"4651","Every day clean towels (brownish, they dont have clean water but WASHED), internet on reception, air condition. ADVICE: bring bug killer something for bugs, your own sampo for hands, bring your own towels for face, do not stay in hotel over day, do not expect breakfast and in that case is it perfect hotel!!! perfect for a low price of ca 200 MAD and to sleep, air condition, having shower, being alone, having internet.    To mention never ever something went missing, lades who clean are polite, still have a case you lock!!! not because of them but so bugs cant get inside and lay eggs!    I do not have problem if you want to contact me and ask christian.m.davidson on facebook    Here i wrote about hotel my own epirience of 2 weeks and have plenty of photo, i think front of God and law that I was honest in positive and negative rewew. "
"4652","bad breakfast - no bread, no one speak English, cockroaches in bathroom where when i complained a hotel manager said it is NORMAL to have them (like in Morocco), oriental type 2,8 cm size (1 inch), no internet in a room, cleaning stuff polite but cleaning with rugs and not proper, dirty carpets never washed brownish smelly, noise in a street below , noise in a hotel, thin door, people yelling and hitting and fighting in a corridor, stuff looking your every move like you are some spy, so to repeat biggest problem were bugs, then noise from hotel until 3 in the midnight, stuff just jumping into room not knocking, no breakfast, not really clean, and multiply noise level at home with number 6 because nether ear plug could not make it possible to sleep. one more thing water is heated on collector on roof and i thing by hot water unit (combined heating) so when you wanna take shower it suddenly is sold-hot if someone else is having shower same time."
"4653","Every day clean towels (brownish, they dont have clean water but WASHED), internet on reception, air condition. ADVICE: bring bug killer something for bugs, your own sampo for hands, bring your own towels for face, do not stay in hotel over day, do not expect breakfast and in that case is it perfect hotel!!! perfect for a low price of ca 200 MAD and to sleep, air condition, having shower, being alone, having internet.    To mention never ever something went missing, lades who clean are polite, still have a case you lock!!! not because of them but so bugs cant get inside and lay eggs!    I do not have problem if you want to contact me and ask christian.m.davidson on facebook    Here i wrote about hotel my own epirience of 2 weeks and have plenty of photo, i think front of God and law that I was honest in positive and negative rewew. "
"4654","bad breakfast - no bread, no one speak English, cockroaches in bathroom where when i complained a hotel manager said it is NORMAL to have them (like in Morocco), oriental type 2,8 cm size (1 inch), no internet in a room, cleaning stuff polite but cleaning with rugs and not proper, dirty carpets never washed brownish smelly, noise in a street below , noise in a hotel, thin door, people yelling and hitting and fighting in a corridor, stuff looking your every move like you are some spy, so to repeat biggest problem were bugs, then noise from hotel until 3 in the midnight, stuff just jumping into room not knocking, no breakfast, not really clean, and multiply noise level at home with number 6 because nether ear plug could not make it possible to sleep. one more thing water is heated on collector on roof and i thing by hot water unit (combined heating) so when you wanna take shower it suddenly is sold-hot if someone else is having shower same time."
"4655","Very clean, staff very pleasant and helpful, very convienent."
"4656","rooms do not have mini refrigerator in them, parking is inconvienent "
"4657","Very clean, staff very pleasant and helpful, very convienent."
"4658","rooms do not have mini refrigerator in them, parking is inconvienent "
"4659","Room and lounge were substanial in size with TVs, air con and wifi."
"4660","Room and lounge were substanial in size with TVs, air con and wifi."
"4661","A very nice hotel. Confirms my opinion from the first time I stayed there."
"4662","A very nice hotel. Confirms my opinion from the first time I stayed there."
"4663","Only able to accommodate one child in the rooms with parents - no family rooms (but this seemed a common problem for hotels in the area - very strange!). No full bar or restaurant - swimming pool not available for use by children (again - strange). Overall great for business or adult travellers but not the best for families.  "
"4664","Only able to accommodate one child in the rooms with parents - no family rooms (but this seemed a common problem for hotels in the area - very strange!). No full bar or restaurant - swimming pool not available for use by children (again - strange). Overall great for business or adult travellers but not the best for families.  "
"4665","Very well situated ( near subway and direct to the airport), view is wonderful, breakfast on the roof, services and food fabulous, very good choice, environment secure and quite."
"4666","Very well situated ( near subway and direct to the airport), view is wonderful, breakfast on the roof, services and food fabulous, very good choice, environment secure and quite."
"4667","I stayed in the juniour suite and it was excellent. It was basically a luxury penthouse suite with a huge balcony that overlooked the malecon. The staff were friendly and helpful and I had a very enjoyable stay. Highly recommended!!!"
"4668","Nothing really. "
"4669","I stayed in the juniour suite and it was excellent. It was basically a luxury penthouse suite with a huge balcony that overlooked the malecon. The staff were friendly and helpful and I had a very enjoyable stay. Highly recommended!!!"
"4670","Nothing really. "
"4671","Awesome place to stay if you have a function at Crown.... It is within the complex!!  Great night out with my friends, and have already recommended you to another friend!!"
"4672","Awesome place to stay if you have a function at Crown.... It is within the complex!!  Great night out with my friends, and have already recommended you to another friend!!"
"4673","Good value for money:) short distance to beach, restaurants e.g"
"4674","Good value for money:) short distance to beach, restaurants e.g"
"4675","The feeling of peace and quiet is something very valuable and this hotel gives you these privileges. The beach is very clean and a short walk from the bungalows."
"4676","I have the firm conviction that they could improve a lot if owners give their staff the proper preparation. They serve with dedication but clearly lack of professionalism in their attentions. Another important point is related to the food. The chef, in my humble opinion on culinary matters, is not the best person for that hotel. Perhaps this is the lowest point all I could see on our staying in Vichayito B "
"4677","The feeling of peace and quiet is something very valuable and this hotel gives you these privileges. The beach is very clean and a short walk from the bungalows."
"4678","I have the firm conviction that they could improve a lot if owners give their staff the proper preparation. They serve with dedication but clearly lack of professionalism in their attentions. Another important point is related to the food. The chef, in my humble opinion on culinary matters, is not the best person for that hotel. Perhaps this is the lowest point all I could see on our staying in Vichayito B "
"4679","All the staff was very helpful, friendly and pleasure. I went to Dubai to celebrate my birthday and the morning of my birthday the staff surprised me with a birthday cake. The hotel is located in a nice area and within walking distance of a supermarket, different shops and restaurants. "
"4680","All the staff was very helpful, friendly and pleasure. I went to Dubai to celebrate my birthday and the morning of my birthday the staff surprised me with a birthday cake. The hotel is located in a nice area and within walking distance of a supermarket, different shops and restaurants. "
"4681","Great location with fantastic views of Danube. Beautiful pool big enough for families but small enough that it doesn't disturb the guests enjoying the peaceful outside seating ares adjacent. The breakfast,which was included in our booking, was superb and had such a variety that after a 9 night stay We still hadn't tried everything that was available. My sons favourite was freshly prepared pancakes with maple syrup and hot chocolate to drink but full cooked breakfast, fresh fruit, cold meats and cheese, various fresh breads and rolls, cereals  and pastries were all available. The hotel was located five minutes walk from main station which took you to centre of Vienna in ten minutes. There was also Prater park which was a seven minute train ride or a 25 minute walk from the hotel. This was a free to enter fun park with rides, places to eat and attractions like Madam Tusons all at reasonable prices."
"4682","A main part of the hotel restaurant was closed during our visit and this may have contributed to the very limited restaurant menu that was available. The Hotel restaurant was very expensive for what you were being offered and eating out was a much better option. 20.5 euro for two glasses of fresh orange and lemonade was the final straw for me. "
"4683","Great location with fantastic views of Danube. Beautiful pool big enough for families but small enough that it doesn't disturb the guests enjoying the peaceful outside seating ares adjacent. The breakfast,which was included in our booking, was superb and had such a variety that after a 9 night stay We still hadn't tried everything that was available. My sons favourite was freshly prepared pancakes with maple syrup and hot chocolate to drink but full cooked breakfast, fresh fruit, cold meats and cheese, various fresh breads and rolls, cereals  and pastries were all available. The hotel was located five minutes walk from main station which took you to centre of Vienna in ten minutes. There was also Prater park which was a seven minute train ride or a 25 minute walk from the hotel. This was a free to enter fun park with rides, places to eat and attractions like Madam Tusons all at reasonable prices."
"4684","A main part of the hotel restaurant was closed during our visit and this may have contributed to the very limited restaurant menu that was available. The Hotel restaurant was very expensive for what you were being offered and eating out was a much better option. 20.5 euro for two glasses of fresh orange and lemonade was the final straw for me. "
"4685","Good location...but wished I'd booked some nicer hotels I saw in the area."
"4686","Expect a cheerful English greeting at the front desk...that initial contact to me is so important and it was  non-existent.  they answered questions and were helpful but think a more positive front desk staff would make a huge difference.  Also, food was marginal."
"4687","Good location...but wished I'd booked some nicer hotels I saw in the area."
"4688","Expect a cheerful English greeting at the front desk...that initial contact to me is so important and it was  non-existent.  they answered questions and were helpful but think a more positive front desk staff would make a huge difference.  Also, food was marginal."
"4689","more restaurants are needed. too expensive to spend for food "
"4690","more restaurants are needed. too expensive to spend for food "
"4691","Thankful that the staff fulfilled my request for a quiet end unit on the ground floor. Staff was friendly at the desk. Room was clean, air conditioner worked, linens were clean, internet not so fast but enough to check email, fresh towels okay. area has many restaurants and fast food places. Easy access on/off Interstate, but didn't hear traffic. "
"4692","Thankful that the staff fulfilled my request for a quiet end unit on the ground floor. Staff was friendly at the desk. Room was clean, air conditioner worked, linens were clean, internet not so fast but enough to check email, fresh towels okay. area has many restaurants and fast food places. Easy access on/off Interstate, but didn't hear traffic. "
"4693","Good location. Clean. Upscale. Parking on site. Gym, pool, spa on site.  Room rate appeared good value before I got hit with all the other charges."
"4694","Parking very expensive, run by a third party and no discounts for hotel residents. Extra charge for gym/pool was very expensive - the site did not indicate there would be a separate charge. Beds were VERY small, unacceptably small for a double, really not much more than a twin.  Shower was treacherously slippery."
"4695","Good location. Clean. Upscale. Parking on site. Gym, pool, spa on site.  Room rate appeared good value before I got hit with all the other charges."
"4696","Parking very expensive, run by a third party and no discounts for hotel residents. Extra charge for gym/pool was very expensive - the site did not indicate there would be a separate charge. Beds were VERY small, unacceptably small for a double, really not much more than a twin.  Shower was treacherously slippery."
"4697","easy going free flowing staff and very clean and tidy room well kept in my absence, the food was ok not the best just ok "
"4698","easy going free flowing staff and very clean and tidy room well kept in my absence, the food was ok not the best just ok "
"4699","the royal Park ,we tried to get on the tennis courts and no body seemed to know how to go about it,there was a list of people on the gate of the courts, yet there was no one on them all day and the same case on the putting green no one around to get putting equipment, the putting green its self was in disrepair from a food point of view, it was  like a mass scramble from what seemed to be at a guess 98% russian people, they showed no manners what so ever, they acted like they had never been fed for weeks, they pushed through in the cues , piled there plates as if there were feeding there hole family, the food that was wasted was criminal, I have never experienced anything like it in my life, because of that my family and i including my sister and brother we all ate in other places off the complex after the first two days, it also appeared that all the food was catered for the russians. having paid over £900 compared to under £400 for my second week at the Land B i felt i would have been far better off staying half board sum where else,and using the money to feed my family instead of going all inclusive. the main reason i booked in at the royal park because a friend stayed there sum time ago and he recommended it to me, he also stayed there at a similar time to me and he was also bitterly disappointed, "
"4700","the royal Park ,we tried to get on the tennis courts and no body seemed to know how to go about it,there was a list of people on the gate of the courts, yet there was no one on them all day and the same case on the putting green no one around to get putting equipment, the putting green its self was in disrepair from a food point of view, it was  like a mass scramble from what seemed to be at a guess 98% russian people, they showed no manners what so ever, they acted like they had never been fed for weeks, they pushed through in the cues , piled there plates as if there were feeding there hole family, the food that was wasted was criminal, I have never experienced anything like it in my life, because of that my family and i including my sister and brother we all ate in other places off the complex after the first two days, it also appeared that all the food was catered for the russians. having paid over £900 compared to under £400 for my second week at the Land B i felt i would have been far better off staying half board sum where else,and using the money to feed my family instead of going all inclusive. the main reason i booked in at the royal park because a friend stayed there sum time ago and he recommended it to me, he also stayed there at a similar time to me and he was also bitterly disappointed, "
"4701","Boutique style hôtel. The rooms are small but neat. The balcony adds extra space and the in room safe is large enough for a large laptop."
"4702","Boutique style hôtel. The rooms are small but neat. The balcony adds extra space and the in room safe is large enough for a large laptop."
"4703","Breakfast was lovely.  Room upgrade to a suite was a nice touch"
"4704","Breakfast was lovely.  Room upgrade to a suite was a nice touch"
"4705","Freandly, good rooms with airco, good breakfast"
"4706","Freandly, good rooms with airco, good breakfast"
"4707","Good quality rooms and service. We stayed 5night and we enjoyed it"
"4708","The breakfast is horrible, compare to uk holiday inn express.there are no hot food in breakfast I mean no beans, serials were not having any quality. Also we took evening meal which was not  worth it.    "
"4709","Good quality rooms and service. We stayed 5night and we enjoyed it"
"4710","The breakfast is horrible, compare to uk holiday inn express.there are no hot food in breakfast I mean no beans, serials were not having any quality. Also we took evening meal which was not  worth it.    "
"4711","Need to have Microwave "
"4712","Need to have Microwave "
"4713","good breakfast, spacious room, easy to find and well located. beautiful view from the dining room"
"4714","did not mention at the reception that my booking was more expensive because changing dates. room with absolutely NO view (brick wall at 1,5 meters from window), hardly any parking space when I arrived while I had specifically asked for it since arriving at 4 in the morning."
"4715","good breakfast, spacious room, easy to find and well located. beautiful view from the dining room"
"4716","did not mention at the reception that my booking was more expensive because changing dates. room with absolutely NO view (brick wall at 1,5 meters from window), hardly any parking space when I arrived while I had specifically asked for it since arriving at 4 in the morning."
"4717","not far from the beach"
"4718","rooms are too small you have to paid for aircon been told you not allow to take food or drink into the room providing that they were no fridge inside. breakfast wast not good . would not stay here or recommend this hotel to anyone"
"4719","not far from the beach"
"4720","rooms are too small you have to paid for aircon been told you not allow to take food or drink into the room providing that they were no fridge inside. breakfast wast not good . would not stay here or recommend this hotel to anyone"
"4721","Very helpful positive staff, good food - everyone enjoyed the weekly BBQ. Nice hotel generally."
"4722","Needs repairs carried out - plumbing fittings in particular. Plumbing was an issue with discoloured bath water - brown and green!    There was excessive dust under the bed which was an issue for an asma sufferer in the party."
"4723","Very helpful positive staff, good food - everyone enjoyed the weekly BBQ. Nice hotel generally."
"4724","Needs repairs carried out - plumbing fittings in particular. Plumbing was an issue with discoloured bath water - brown and green!    There was excessive dust under the bed which was an issue for an asma sufferer in the party."
"4725","Very clean, well kept, quiet and very comfortable. Staff was very professional , helpfull and friendly"
"4726","Very clean, well kept, quiet and very comfortable. Staff was very professional , helpfull and friendly"
"4727","Everything was perfect. The staff went out of their  to help even on minor requests. Just a couple of minuits to Gard du Nord  railway station (   Eurostar) proved very useful. A bus stage "
"4728","Everything was perfect. The staff went out of their  to help even on minor requests. Just a couple of minuits to Gard du Nord  railway station (   Eurostar) proved very useful. A bus stage "
"4729","The food was great and the hotel is right by a nice beach."
"4730","The staff were nice but not able to deal with issues very well. I think there were too many people staying there for the number of staff. Often had to wait 20 to 30 mins just to ask a simple question at reception."
"4731","The food was great and the hotel is right by a nice beach."
"4732","The staff were nice but not able to deal with issues very well. I think there were too many people staying there for the number of staff. Often had to wait 20 to 30 mins just to ask a simple question at reception."
"4733","The room I had was ok for a 3 star hotel. the bed had clean sheets and the W/C had been cleaned to the best of someones ability. This really is the best I can say about this dilapidated hole that relies too much on its dated and badly repaired decoration to hide the fact that it is poorly ran with almost no service.   WHAT THEY DON'T TELL YOU ON THE SITE!  Parking is on a first come first served basis, so be prepared to hunt down a parking area (as the staff won't help you).  So what if you booked a room 2 weeks ago.You'll need to find a parking space yourself (even if you are differently able, like me). It took me 45 minutes to walk back to the hotel from the parking space I found, as I'm on crutches and walking is difficult.  Graffiti in a hotel? Not even the good artsy kind either.  Because the clientele is not vetted, Don't expect a good nights sleep either.  I didn't actually sleep in my room as I couldn't face the noize. I collected my bag from my room and left the hotel in the early hours of the morning."
"4734","The room I had was ok for a 3 star hotel. the bed had clean sheets and the W/C had been cleaned to the best of someones ability. This really is the best I can say about this dilapidated hole that relies too much on its dated and badly repaired decoration to hide the fact that it is poorly ran with almost no service.   WHAT THEY DON'T TELL YOU ON THE SITE!  Parking is on a first come first served basis, so be prepared to hunt down a parking area (as the staff won't help you).  So what if you booked a room 2 weeks ago.You'll need to find a parking space yourself (even if you are differently able, like me). It took me 45 minutes to walk back to the hotel from the parking space I found, as I'm on crutches and walking is difficult.  Graffiti in a hotel? Not even the good artsy kind either.  Because the clientele is not vetted, Don't expect a good nights sleep either.  I didn't actually sleep in my room as I couldn't face the noize. I collected my bag from my room and left the hotel in the early hours of the morning."
"4735","My position in Germany required my living there for 20 years. Sofitel, when available, was always the hotel of choice.  Luxembourg was my  favorite.   "
"4736","My position in Germany required my living there for 20 years. Sofitel, when available, was always the hotel of choice.  Luxembourg was my  favorite.   "
"4737","Goran from the front desk was very helpful and service minded."
"4738","Goran from the front desk was very helpful and service minded."
"4739","We had a very very clean and comfortable room with a TV and a bathroom! Everything was perfect and we will go there again!"
"4740","We had a very very clean and comfortable room with a TV and a bathroom! Everything was perfect and we will go there again!"
"4741","friendly staff, good location"
"4742","up to date I couldn't get a corected invoice (this is required for a business trip) - that drives me crazy!"
"4743","friendly staff, good location"
"4744","up to date I couldn't get a corected invoice (this is required for a business trip) - that drives me crazy!"
"4745","friendly personel"
"4746","poor knowledge off English  "
"4747","friendly personel"
"4748","poor knowledge off English  "
"4749","Only real negative was the marketing of the swimming pool, this was attached to the hotel as part of the leisure facilities but was not really aimed at families.  Firstly paying £5 per person for an hour was very expensive and secondly the pool was split into swimming lanes which did not really cater for children and you only know this once you have paid and are in the swimming pool itself."
